Setting java path
Starting model check...
TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 110 and seed -1230995419751527043 with 32 workers on 32 cores with 163840MB heap and 64MB offheap memory [pid: 1135700] (Linux 4.18.0-553.58.1.el8_10.x86_64 amd64, Red Hat, Inc. 21.0.7 x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /scratch/stolla/models/tlc_large_T/gen_server_behaviour_simple.tla

Unrecoverable error:
 -- Illegal lexeme `§' found at
    line 60, column 3.

Parsing file /tmp/Naturals.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Typecheck.tla
Parsing file /tmp/Timeouts.tla
Parsing file /scratch/stolla/models/tlc_large_T/ShiVizExt.tla
Parsing file /scratch/stolla/models/tlc_large_T/GenServerUtil.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/Json.tla
Parsing file /tmp/Toolbox.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module TLC
Semantic processing of module Integers
Semantic processing of module Typecheck
Semantic processing of module Timeouts
Semantic processing of module Json
Semantic processing of module GenServerUtil
Semantic processing of module Toolbox
Semantic processing of module ShiVizExt
Semantic processing of module gen_server_behaviour_simple
Starting... (2025-07-07 09:56:51)
Implied-temporal checking--satisfiability problem has 1 branches.
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2025-07-07 09:56:51.
Progress(54) at 2025-07-07 11:01:07: 382,005,754 states generated (6,089,720 s/min), 120,097,177 distinct states found (1,936,511 ds/min), 14,617,957 states left on queue.
Progress(54) at 2025-07-07 11:02:07: 387,535,895 states generated (5,530,141 s/min), 121,845,966 distinct states found (1,748,789 ds/min), 14,864,275 states left on queue.
Progress(54) at 2025-07-07 11:03:07: 392,668,935 states generated (5,133,040 s/min), 123,446,424 distinct states found (1,600,458 ds/min), 15,066,755 states left on queue.
Progress(54) at 2025-07-07 11:04:07: 397,916,074 states generated (5,247,139 s/min), 125,136,771 distinct states found (1,690,347 ds/min), 15,305,238 states left on queue.
Progress(55) at 2025-07-07 11:05:07: 403,812,654 states generated (5,896,580 s/min), 126,976,272 distinct states found (1,839,501 ds/min), 15,538,715 states left on queue.
Progress(55) at 2025-07-07 11:06:07: 409,684,817 states generated (5,872,163 s/min), 128,847,179 distinct states found (1,870,907 ds/min), 15,804,024 states left on queue.
Progress(55) at 2025-07-07 11:07:07: 415,915,529 states generated (6,230,712 s/min), 130,752,446 distinct states found (1,905,267 ds/min), 16,064,241 states left on queue.
Progress(55) at 2025-07-07 11:08:07: 421,979,775 states generated (6,064,246 s/min), 132,593,348 distinct states found (1,840,902 ds/min), 16,288,404 states left on queue.
Progress(55) at 2025-07-07 11:09:07: 427,943,052 states generated (5,963,277 s/min), 134,403,206 distinct states found (1,809,858 ds/min), 16,497,521 states left on queue.
Progress(55) at 2025-07-07 11:10:08: 434,058,118 states generated (6,115,066 s/min), 136,325,757 distinct states found (1,922,551 ds/min), 16,755,865 states left on queue.
